Trace
Swept SA
A.14.62,N9000A
503 EP4 ,01
Segment,0
Number of Points,1001
Sweep Time,0.0024
Start Frequency,490000000
Stop Frequency,510000000
Average Count,50
Average Type,LogPower(Video)
RBW,180000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,180000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
490000000,-89.1590364074707
490020000,-88.0827491760254
490040000,-88.4045532226562
490060000,-89.3931962585449
490080000,-88.6409341430664
490100000,-89.9818760681152
490120000,-89.3714015197754
490140000,-88.2641226196289
490160000,-88.7945834350586
490180000,-89.023490447998
490200000,-88.3523138427734
490220000,-87.9791354370117
490240000,-89.099870300293
490260000,-88.5858979797364
490280000,-88.8364166259766
490300000,-88.4765124511719
490320000,-88.2784126281738
490340000,-88.7996481323242
490360000,-89.8721716308594
490380000,-89.7836651611328
490400000,-89.5705667114258
490420000,-88.5412362670898
490440000,-88.9075407409668
490460000,-89.0154359436035
490480000,-88.7894538879395
490500000,-87.8805102539063
490520000,-88.9826916503906
490540000,-88.8215156555176
490560000,-88.7761515808105
490580000,-88.8801792907715
490600000,-89.3400848388672
490620000,-89.4393832397461
490640000,-88.889715423584
490660000,-88.3349781799316
490680000,-87.9301292419434
490700000,-89.0567170715332
490720000,-89.1159039306641
490740000,-89.0408290100098
490760000,-89.9799012756348
490780000,-90.8784434509277
490800000,-89.9017417907715
490820000,-88.157126159668
490840000,-88.1618295288086
490860000,-89.039415435791
490880000,-88.4517004394531
490900000,-89.0415306091308
490920000,-89.114488067627
490940000,-89.0871545410156
490960000,-89.5650131225586
