Trace
Swept SA
A.14.62,N9000A
503 EP4 ,01
Segment,0
Number of Points,1001
Sweep Time,0.001
Start Frequency,497480000
Stop Frequency,502520000
Average Count,50
Average Type,Power(RMS)
RBW,510000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,51000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
497480000,-81.9592372650932
497485040,-82.15324176457
497490080,-82.3635555620582
497495120,-82.5356361519023
497500160,-82.5086963222986
497505200,-82.2349255429824
497510240,-81.7923020223741
497515280,-82.3270257449799
497520320,-81.6340327012558
497525360,-81.7344816490667
497530400,-81.3268878762067
497535440,-81.484137463386
497540480,-81.8182877370505
497545520,-81.7772942120956
497550560,-82.4357705435771
497555600,-82.0440941091265
497560640,-81.998052010138
497565680,-82.1421194502052
497570720,-81.8567152185352
497575760,-81.8739822932192
497580800,-82.3103360978559
497585840,-82.3151147921782
497590880,-82.4163372705498
497595920,-81.355307927463
497600960,-81.6197155063358
497606000,-81.8151664674523
497611040,-81.7715115548487
497616080,-81.7825790221096
497621120,-82.0347080745381
497626160,-82.5006014911536
497631200,-82.063649416315
497636240,-81.8840811902134
497641280,-82.1381675687974
497646320,-82.3230284018541
497651360,-82.8927598789845
497656400,-82.3379977102418
497661440,-82.0910574646874
497666480,-81.9545146552086
497671520,-81.7671159623731
497676560,-82.0187769655129
497681600,-81.6548998803279
497686640,-81.2702529604734
497691680,-81.8328834449736
497696720,-82.1117555860637
497701760,-82.1218681659462
497706800,-81.7865135913505
497711840,-81.9611042441091
497716880,-82.2331697037177
497721920,-81.9562157660865
497726960,-82.6779512531367
