Trace
Swept SA
A.14.62,N9000A
503 EP4 ,01
Segment,0
Number of Points,1001
Sweep Time,0.006266666667
Start Frequency,490000000
Stop Frequency,510000000
Average Count,50
Average Type,Power(RMS)
RBW,180000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,18000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
490000000,-87.129754924933
490020000,-87.1677642307686
490040000,-86.3754233979806
490060000,-86.6590176292345
490080000,-87.1587874916291
490100000,-86.0264579507338
490120000,-86.7586531464246
490140000,-87.4780126800261
490160000,-86.5602392178604
490180000,-86.8093063013617
490200000,-86.6727195412083
490220000,-86.1558096830595
490240000,-86.9488397835488
490260000,-85.8475784723652
490280000,-86.7873367664866
490300000,-86.7603019614323
490320000,-85.4503484579998
490340000,-86.4470279512071
490360000,-85.6845782969692
490380000,-86.1321656773271
490400000,-86.2100300577628
490420000,-86.099756309254
490440000,-87.0925598575614
490460000,-86.2200174758031
490480000,-86.612477813764
490500000,-87.2285330377721
490520000,-87.2399601431916
490540000,-86.6989886911662
490560000,-87.0534198151131
490580000,-86.8346738565413
490600000,-86.5286637032576
490620000,-87.1344605237846
490640000,-86.7229138524465
490660000,-86.8947986804633
490680000,-87.114950403683
490700000,-86.2147899588243
490720000,-87.2541967573706
490740000,-87.1857893661874
490760000,-86.5127262068709
490780000,-86.5851116975302
490800000,-86.8090983431372
490820000,-86.6950857084077
490840000,-86.2127410037439
490860000,-86.5608842263129
490880000,-86.1360994396124
490900000,-86.5449172543163
490920000,-86.800763156901
490940000,-86.7903717016623
490960000,-86.7884166428833
