Trace
Swept SA
A.14.62,N9000A
503 EP4 ,01
Segment,0
Number of Points,1001
Sweep Time,0.0102
Start Frequency,499950000
Stop Frequency,500050000
Average Count,50
Average Type,Power(RMS)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,1000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Wide
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
499950000,-98.4509523230106
499950100,-98.3433588940389
499950200,-98.4656141605863
499950300,-98.7356597054438
499950400,-99.0443741077605
499950500,-99.2789096370667
499950600,-99.4356990292089
499950700,-99.5388535078957
499950800,-99.5383271422571
499950900,-99.3816229774233
499951000,-99.1421405447949
499951100,-98.9697930416725
499951200,-98.9417469772677
499951300,-99.0383043907888
499951400,-99.1858734061085
499951500,-99.3503823000952
499951600,-99.5451902285949
499951700,-99.7219605092771
499951800,-99.7757520907237
499951900,-99.6873848770311
499952000,-99.5836132737886
499952100,-99.5804108132373
499952200,-99.648319960347
499952300,-99.6590042241373
499952400,-99.5391067326738
499952500,-99.3866326274882
499952600,-99.3255504956211
499952700,-99.4804422533823
499952800,-99.8070039566949
499952900,-100.086649154493
499953000,-100.00994535392
499953100,-99.5900165285188
499953200,-99.1337949230403
499953300,-98.8842977905019
499953400,-98.8893346032548
499953500,-99.0648298720895
499953600,-99.3169329136409
499953700,-99.555195303761
499953800,-99.7211893706836
499953900,-99.7753187718989
499954000,-99.7435497899685
499954100,-99.7127727408725
499954200,-99.7628064689468
499954300,-99.8857541398083
499954400,-100.024615105912
499954500,-100.096631397786
499954600,-100.023152492138
499954700,-99.8722453287796
499954800,-99.7182705115115
499954900,-99.6046150766091
