Trace
Swept SA
A.08.55,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,2.0272666666
Start Frequency,0
Stop Frequency,20000000
Average Count,0
Average Type,Power(RMS)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,1000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
0,-10.7055182055512
20000,-33.5139754390659
40000,-72.1217884347868
60000,-71.1737206521655
80000,-71.1418726602207
100000,-71.4731339166388
120000,-72.0370461390014
140000,-73.1822244972012
160000,-73.6309323501811
180000,-74.5250460464873
200000,-75.0947288519803
220000,-76.0761998405573
240000,-76.5583299415425
260000,-77.2647411046746
280000,-77.6583510867996
300000,-77.7612680381266
320000,-77.6751589661074
340000,-77.4578358996685
360000,-76.7545902591959
380000,-76.5511616059902
400000,-77.4745857902344
420000,-78.9886618441969
440000,-80.6097326046683
460000,-82.0853720648946
480000,-83.1627602540983
500000,-83.6945797595649
520000,-84.2229052542901
540000,-84.8809264501836
560000,-85.1722627595925
580000,-85.667968110785
600000,-85.7268738881026
620000,-86.1648753039601
640000,-86.5958806339931
660000,-86.8932480095526
680000,-86.9865642984069
700000,-87.4370908455302
720000,-87.467243709804
740000,-87.6547552259406
760000,-87.8139764132297
780000,-88.3148665329092
800000,-88.4982927108702
820000,-88.5687058370106
840000,-88.7145918225307
860000,-88.602802603598
880000,-88.8039518647255
900000,-88.9521473597686
920000,-89.2057039351037
940000,-89.3440688224707
960000,-89.5018312528602
980000,-89.622170602057
1000000,-89.9529163775969
1020000,-89.7128829609438
1040000,-89.8825869182516
1060000,-89.9474797866043
1080000,-90.2379627764521
1100000,-90.1207269808356
1120000,-90.4116082638811
1140000,-90.3899699159444
1160000,-90.7069765079612
1180000,-90.8829227727563
1200000,-90.5633296493446
1220000,-90.6506850211355
1240000,-91.0298705446024
1260000,-91.1532398137052
1280000,-91.2526905512083
1300000,-91.3680925802304
1320000,-91.274988866324
1340000,-91.6446020299055
1360000,-91.6377341349506
1380000,-91.7656537332012
1400000,-91.9240508006788
1420000,-92.2760677556836
1440000,-92.0625304204827
1460000,-92.2959655015448
1480000,-92.4472948176523
1500000,-92.4811083404028
1520000,-92.6242429188277
1540000,-92.9645124293245
1560000,-92.9292773853863
1580000,-93.0341939103667
1600000,-93.0928441482026
1620000,-93.1566552668934
1640000,-93.2826881903949
1660000,-93.5987868198015
1680000,-93.8833659518278
1700000,-93.7948417923518
1720000,-93.820505456608
1740000,-93.7567929065664
1760000,-94.0842789763133
1780000,-94.2527388264738
1800000,-94.0484617480365
1820000,-94.2514318249903
1840000,-94.2638441505028
1860000,-94.5939125183869
1880000,-94.3825074265418
1900000,-94.4847264873081
1920000,-94.907393578226
1940000,-94.7521824888988
1960000,-94.9034334995612
1980000,-94.9716090971751
2000000,-95.3041366988487
2020000,-95.4527324737238
2040000,-95.4945308797535
2060000,-95.8601574965125
2080000,-95.6410828174112
2100000,-95.7713304102268
2120000,-95.7270048846872
2140000,-95.8855027786328
2160000,-95.9941113923429
2180000,-96.140045649709
2200000,-96.0608742077526
2220000,-96.0867257594117
2240000,-96.2402544238955
2260000,-96.2945638102745
2280000,-96.328878215254
2300000,-96.5299245410118
2320000,-96.4499990292907
2340000,-96.3922741612321
2360000,-96.3769516347451
2380000,-96.6808744364812
2400000,-96.8265471094566
2420000,-96.8634196666166
2440000,-96.972324046089
2460000,-97.036347673072
2480000,-97.013777359379
2500000,-97.2817048652388
2520000,-97.184182130936
2540000,-97.1290610526805
2560000,-97.1173655024188
2580000,-97.158331084069
2600000,-97.3952281781032
2620000,-97.3418785448297
2640000,-97.4910255709088
2660000,-97.228258157688
2680000,-97.518234343355
2700000,-97.5057787392021
2720000,-97.6644327336882
2740000,-97.6180820863256
2760000,-97.7287483758264
2780000,-97.5898233362555
2800000,-97.9214747747798
2820000,-97.7082693909308
2840000,-97.8661706707524
2860000,-97.9777128017071
2880000,-97.8837003301713
2900000,-97.9091684944194
2920000,-98.1423068545
2940000,-98.0025026090641
2960000,-97.935776187629
2980000,-97.9020398470865
3000000,-97.7832749992771
3020000,-97.7290541148443
3040000,-97.9378011255585
3060000,-97.9841305606006
3080000,-97.9372037663446
3100000,-97.9780569819668
3120000,-98.0383630413671
3140000,-98.1232880552651
3160000,-97.9863474578997
3180000,-97.9642748076223
3200000,-98.2997194450107
3220000,-98.1214391322332
3240000,-98.2289023797336
3260000,-98.1058808097708
3280000,-98.4170607953825
3300000,-98.3512626843152
3320000,-98.1654834105341
3340000,-98.4912346734807
3360000,-98.388705837863
3380000,-98.2336337685243
3400000,-98.4910794392665
3420000,-98.4703341734198
3440000,-98.3853384193177
