Trace
Swept SA
A.08.55,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,0.7626
Start Frequency,30000000
Stop Frequency,50000000
Average Count,0
Average Type,LogPower(Video)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
30000000,-103.384694230169
30020000,-103.174661592225
30040000,-102.720250228834
30060000,-103.343820944755
30080000,-102.145748874773
30100000,-102.343294966859
30120000,-102.795907836534
30140000,-103.161177260242
30160000,-102.841532516292
30180000,-102.728188503933
30200000,-102.663058751178
30220000,-102.753845821202
30240000,-102.855098901138
30260000,-102.622220964462
30280000,-103.149835951773
30300000,-102.557569684882
30320000,-102.821430418719
30340000,-103.550205732389
30360000,-102.831226230586
30380000,-103.39536371484
30400000,-101.804289033948
30420000,-101.642707902026
30440000,-102.934921924227
30460000,-102.016289481388
30480000,-103.386878584808
30500000,-102.817144854402
30520000,-102.573315846296
30540000,-102.509799348592
30560000,-102.661369911508
30580000,-102.352254718865
30600000,-103.0348451815
30620000,-102.361784660404
30640000,-103.019451425821
30660000,-102.241136477025
30680000,-102.698260118413
30700000,-103.115227350399
30720000,-102.938213347992
30740000,-102.764025200816
30760000,-102.875353380373
30780000,-102.900201038402
30800000,-103.634150036094
30820000,-102.066403455687
30840000,-101.570081009141
30860000,-103.145265013457
30880000,-103.142677337448
30900000,-102.844577495058
30920000,-101.973952348612
30940000,-102.283184178741
30960000,-102.351025006659
30980000,-103.061365712128
31000000,-103.153647494191
31020000,-102.345978036322
31040000,-103.143658203763
31060000,-102.724497884922
31080000,-103.066735402226
31100000,-102.495983713069
31120000,-102.154245381413
31140000,-103.081172600394
31160000,-102.377306491645
31180000,-102.242331360563
31200000,-102.918895334946
31220000,-102.118952442117
31240000,-102.819187540041
31260000,-102.503071169115
31280000,-102.45000356302
31300000,-103.179225945991
31320000,-103.290603487817
31340000,-101.911099163113
31360000,-102.892757107336
31380000,-103.241448076749
31400000,-102.366875915797
31420000,-101.583390207768
31440000,-103.02142638812
31460000,-102.819211445295
31480000,-102.074042058932
31500000,-102.893457427368
31520000,-102.079429930097
31540000,-103.007406070196
31560000,-102.394583424417
31580000,-101.927577087827
31600000,-102.643301245594
31620000,-102.389773148229
31640000,-102.671610055087
31660000,-102.748687087114
31680000,-102.71705139539
31700000,-102.709665230397
31720000,-103.404994533996
31740000,-102.58077342786
31760000,-102.655361400834
31780000,-102.044058591533
31800000,-102.462080115474
31820000,-103.489752548488
31840000,-103.4725937543
31860000,-102.265334221431
31880000,-101.672337257352
31900000,-102.673442867286
31920000,-103.034164540205
31940000,-102.719511694748
31960000,-102.974965417923
31980000,-103.075628041266
32000000,-102.535537577635
32020000,-103.126228459227
32040000,-102.998626005899
32060000,-103.269766037469
32080000,-102.448749345238
32100000,-103.520692788615
32120000,-102.986723991792
32140000,-103.027686096612
32160000,-102.436013798048
32180000,-102.390814536204
32200000,-103.146620203403
32220000,-103.178594199543
32240000,-103.519873127443
32260000,-102.24941563141
32280000,-102.538996591751
32300000,-102.940671961156
32320000,-102.515936578436
32340000,-101.963387683808
32360000,-103.158883596707
32380000,-102.547008561438
32400000,-103.044056118885
32420000,-102.396794588004
32440000,-102.298999307065
32460000,-103.207026730171
32480000,-103.080272030121
32500000,-102.634583629052
32520000,-102.733260412624
32540000,-102.502182791999
32560000,-102.92892592798
32580000,-103.056262366741
32600000,-102.882610461892
32620000,-102.204730471005
32640000,-102.562671324869
32660000,-102.952848706589
32680000,-102.870269680793
32700000,-102.424122215362
32720000,-102.784586878401
32740000,-103.05416699391
32760000,-102.524694302782
32780000,-102.260132002752
32800000,-103.560044050088
32820000,-103.899936244543
32840000,-102.259739839655
32860000,-102.59309685132
32880000,-103.182322778535
32900000,-102.65267991729
32920000,-102.384908421783
32940000,-102.894355848816
32960000,-102.720214280623
32980000,-102.719849582258
33000000,-103.709336915672
33020000,-102.352655133724
33040000,-103.145024828431
33060000,-103.060377638055
33080000,-103.123808808472
33100000,-102.815406238901
33120000,-101.923092352898
33140000,-103.099466797317
33160000,-102.788474615129
33180000,-103.494364981654
33200000,-102.983319411818
33220000,-103.038632276367
33240000,-102.882272961222
33260000,-102.209935846723
33280000,-103.336059732935
33300000,-102.951018318704
33320000,-101.323020871333
33340000,-101.804290666055
33360000,-103.11077843189
33380000,-102.326198393258
33400000,-102.487410103674
33420000,-103.2544233134
33440000,-102.115027864267
33460000,-103.211608367307
33480000,-102.805137900123
33500000,-102.753040995644
33520000,-102.419750776032
33540000,-102.34551758901
33560000,-101.757118529555
33580000,-102.238229301977
33600000,-103.254353165715
33620000,-103.040708165601
