Trace
Swept SA
A.08.55,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,0.7626
Start Frequency,10000000
Stop Frequency,30000000
Average Count,0
Average Type,LogPower(Video)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000000,-103.624849828289
10020000,-102.519400054356
10040000,-102.732438372892
10060000,-102.175713758602
10080000,-101.387467792623
10100000,-103.364536237499
10120000,-102.642398389484
10140000,-103.254353617376
10160000,-103.039561628922
10180000,-102.255500016731
10200000,-101.929093869739
10220000,-102.401825235253
10240000,-102.725012302157
10260000,-102.060859518455
10280000,-102.630198568798
10300000,-103.440523908909
10320000,-101.67624787223
10340000,-102.684847686045
10360000,-102.633929474249
10380000,-102.834493496164
10400000,-101.88448863309
10420000,-102.313052734042
10440000,-103.3478990434
10460000,-102.42170010444
10480000,-102.754008605376
10500000,-102.435696672096
10520000,-102.474905911921
10540000,-102.787977509997
10560000,-102.318192734278
10580000,-102.015523290071
10600000,-102.388132826253
10620000,-102.645160325367
10640000,-101.938278474938
10660000,-102.702678489005
10680000,-102.820599717195
10700000,-101.849665366484
10720000,-102.7096474948
10740000,-102.310257356176
10760000,-102.885878742266
10780000,-101.307998466693
10800000,-101.799712131917
10820000,-102.631513011519
10840000,-102.581410674621
10860000,-102.899174998237
10880000,-102.773543828483
10900000,-101.842296065379
10920000,-103.714844725098
10940000,-102.709881031426
10960000,-102.549212012361
10980000,-102.280713950283
11000000,-102.274196384775
11020000,-103.133856878244
11040000,-103.494075717898
11060000,-101.730845209752
11080000,-102.618512431589
11100000,-103.248721099541
11120000,-103.047192101754
11140000,-103.157658588547
11160000,-102.436438182543
11180000,-103.322753450513
11200000,-102.169584340072
11220000,-102.627878555859
11240000,-103.201354732319
11260000,-101.835705414449
11280000,-101.733505265295
11300000,-103.140529691187
11320000,-102.262952338243
11340000,-102.293369531478
11360000,-102.777715133383
11380000,-102.584766592131
11400000,-101.993867607106
11420000,-102.56214486588
11440000,-102.778882169557
11460000,-103.818859153028
11480000,-102.782000386302
11500000,-103.325785540536
11520000,-102.602423773653
11540000,-103.318914259206
11560000,-102.369481902891
11580000,-102.814598571559
11600000,-103.163722679742
11620000,-102.93491856885
11640000,-102.901786484673
11660000,-102.572386136264
11680000,-102.256559970806
11700000,-102.32884213258
11720000,-101.737394652767
11740000,-102.383422761596
11760000,-103.413795942353
11780000,-102.557570925596
11800000,-101.570130656496
11820000,-102.019401751461
11840000,-102.889962288906
11860000,-102.764406915865
11880000,-101.764633952612
11900000,-101.927067567849
11920000,-102.442920747953
11940000,-103.238363531531
11960000,-102.071865695436
11980000,-103.443042272497
12000000,-102.652344304081
12020000,-102.406049125673
12040000,-102.754359103182
12060000,-102.318528839466
12080000,-101.873871576698
12100000,-102.857492327853
12120000,-101.678644505019
12140000,-101.842790809523
12160000,-102.422206014811
12180000,-103.418363726219
12200000,-103.328445705653
12220000,-102.739769010983
12240000,-101.479677361963
12260000,-104.087456265336
12280000,-102.753932918134
12300000,-103.434544209555
12320000,-102.633284185146
12340000,-103.4172645402
12360000,-102.162019345161
12380000,-102.415089295346
12400000,-102.623216696419
12420000,-102.81977337434
12440000,-102.947050712915
12460000,-102.892268260955
12480000,-102.452085737564
12500000,-102.911571839235
12520000,-102.880492950369
12540000,-102.894291575464
12560000,-103.850606888225
12580000,-101.961758779434
12600000,-103.008073700998
12620000,-102.307615588382
12640000,-102.271852061973
12660000,-102.866890779957
12680000,-101.622526206845
12700000,-102.691800428781
12720000,-102.115213560978
12740000,-103.223318636026
12760000,-102.665903179946
12780000,-102.154599032134
12800000,-102.122013091691
12820000,-102.869580742581
12840000,-102.256782222498
12860000,-102.005480500458
12880000,-102.257733442803
12900000,-102.588542382336
12920000,-102.876369443858
12940000,-102.767643065753
12960000,-102.331968868983
12980000,-102.388665818304
13000000,-102.361321953615
13020000,-103.316881518732
13040000,-102.761569539095
13060000,-102.023159775702
13080000,-102.047777262581
13100000,-101.768080955492
13120000,-102.549284849694
13140000,-102.497774076522
13160000,-103.239916173802
13180000,-102.418399809239
13200000,-102.855249037837
13220000,-103.152765123967
13240000,-102.939225138782
13260000,-102.382970893571
13280000,-102.406212301625
13300000,-103.220584144644
13320000,-103.197179469236
13340000,-102.387240661808
13360000,-102.596691341369
13380000,-102.571540277591
13400000,-102.91784836173
13420000,-102.525935301368
13440000,-103.30682265479
13460000,-103.286287729409
13480000,-102.649552225895
13500000,-103.014303520345
13520000,-102.684929303435
13540000,-102.402932723565
13560000,-102.570104767356
13580000,-103.438662234039
13600000,-103.213213545899
13620000,-103.333646708448
