Trace
Swept SA
A.08.55,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,0.7626
Start Frequency,2550000000
Stop Frequency,2570000000
Average Count,0
Average Type,LogPower(Video)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
2550000000,-96.8866231881796
2550020000,-96.8171838641047
2550040000,-97.9738553399323
2550060000,-97.4623175515895
2550080000,-97.148753722524
2550100000,-97.467623996197
2550120000,-97.4657602361965
2550140000,-96.318902757255
2550160000,-98.1339786265637
2550180000,-98.3888756059747
2550200000,-97.1820431636624
2550220000,-97.7041870710489
2550240000,-97.5779035521314
2550260000,-96.7947244438428
2550280000,-96.2936351239614
2550300000,-96.717706764201
2550320000,-97.0491001119866
2550340000,-96.2275596592024
2550360000,-96.485511966936
2550380000,-96.3449325290767
2550400000,-98.5709689178341
2550420000,-97.2251001767896
2550440000,-96.7578646491253
2550460000,-96.5782826250237
2550480000,-96.9492066404901
2550500000,-96.3308455211626
2550520000,-97.2694570829991
2550540000,-98.018034767187
2550560000,-97.3834728637287
2550580000,-96.1731135918095
2550600000,-97.3593576281922
2550620000,-97.6294935291137
2550640000,-96.7511277415384
2550660000,-96.8761732672364
2550680000,-97.2830822607253
2550700000,-97.7113031122672
2550720000,-97.9604854961117
2550740000,-97.618046928392
2550760000,-97.3184772574463
2550780000,-97.4425420604729
2550800000,-96.8969807394506
2550820000,-96.5627651541301
2550840000,-95.5311614491376
2550860000,-96.3432220662518
2550880000,-95.400053142154
2550900000,-96.6144929553414
2550920000,-97.5568199472987
2550940000,-96.7231524814807
2550960000,-97.7543291754629
2550980000,-96.4152311928619
2551000000,-98.1194854002945
2551020000,-96.9309094877127
2551040000,-97.6824481999663
2551060000,-96.7832797757249
2551080000,-96.6610700279044
2551100000,-96.3627828404521
2551120000,-96.4404141969949
2551140000,-96.7759378960316
2551160000,-96.5067140477473
2551180000,-97.4079449877597
2551200000,-99.2512732140273
2551220000,-96.9935209890294
2551240000,-97.8533163961723
2551260000,-97.5697777688949
2551280000,-96.1922995817468
2551300000,-97.2682877577947
2551320000,-96.8947112452558
2551340000,-97.4317168731254
2551360000,-96.8568658923186
2551380000,-97.2588712724501
2551400000,-96.2709285863894
2551420000,-96.2471683067432
2551440000,-96.7806848251086
2551460000,-97.711790086498
2551480000,-97.1411260370965
2551500000,-95.5261620830417
2551520000,-96.9892339534982
2551540000,-95.915892954814
2551560000,-96.4924481104158
2551580000,-97.9266829623208
2551600000,-96.6872226311307
2551620000,-97.856775522047
2551640000,-96.915209702316
2551660000,-96.6783874222931
2551680000,-95.8371759359254
2551700000,-97.3522826881239
2551720000,-96.68937412745
2551740000,-97.5032075893933
2551760000,-96.2378335476148
2551780000,-97.1363863603321
2551800000,-96.8081305512459
2551820000,-97.7183954558667
2551840000,-96.2897876694426
2551860000,-97.2460333793142
2551880000,-96.8813965311268
2551900000,-97.30318610515
2551920000,-95.855793707557
2551940000,-96.4985099233802
2551960000,-97.6131423446942
2551980000,-97.0318789464202
2552000000,-97.2961750367517
2552020000,-97.407829925974
2552040000,-97.3494614520558
2552060000,-97.3373944042617
2552080000,-96.9060684144144
2552100000,-97.3652763303644
2552120000,-97.5141609609998
2552140000,-97.8593598663915
2552160000,-97.9218843217834
2552180000,-97.9855969604119
2552200000,-96.6690555992546
2552220000,-97.2171320772809
2552240000,-96.6934106957502
2552260000,-96.2012044600662
2552280000,-96.9729611473932
2552300000,-97.2789877260802
2552320000,-96.9434896572663
2552340000,-96.6760575138626
2552360000,-98.1838088460252
2552380000,-96.4795991288666
2552400000,-97.6586009055215
2552420000,-97.4328871957581
2552440000,-98.3529027469394
2552460000,-97.332332172001
2552480000,-96.9706563518793
2552500000,-95.7488678888271
2552520000,-97.2358165843236
2552540000,-96.782065993392
2552560000,-97.2754106023298
2552580000,-97.4589034272372
2552600000,-96.7305316282427
2552620000,-97.8864864221181
2552640000,-96.1319015077385
2552660000,-97.6893679353239
2552680000,-97.8916453714002
2552700000,-97.2371861137421
2552720000,-97.6516768478834
2552740000,-97.7016027889571
2552760000,-96.7079832274327
2552780000,-96.2763931968661
2552800000,-97.3297115911619
2552820000,-97.4358970654856
2552840000,-96.8780389909671
2552860000,-97.1738622818606
2552880000,-97.6488372007597
2552900000,-97.8175060252868
2552920000,-95.4233579087492
2552940000,-98.8819740950305
2552960000,-97.0311463384872
2552980000,-98.5225271460567
2553000000,-96.8596518561748
2553020000,-97.2849493997537
2553040000,-96.6886168204315
2553060000,-97.9491128790752
2553080000,-96.0722205315325
2553100000,-96.0722050565668
2553120000,-97.0885200300659
