Trace
Swept SA
A.08.55,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,2.0272666666
Start Frequency,2550000000
Stop Frequency,2570000000
Average Count,0
Average Type,Power(RMS)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,1000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
2550000000,-94.6250332078565
2550020000,-94.4003271371238
2550040000,-94.6011910136823
2550060000,-94.2789494003607
2550080000,-94.8412866926712
2550100000,-94.5820760264014
2550120000,-94.6393045679755
2550140000,-94.3625870202752
2550160000,-94.5457860017554
2550180000,-94.6500133311763
2550200000,-94.5387246932808
2550220000,-94.3839224501571
2550240000,-94.5991640668992
2550260000,-94.310544260608
2550280000,-94.5055487543564
2550300000,-94.390068975998
2550320000,-94.6527442504673
2550340000,-94.7747898939868
2550360000,-94.5292464173663
2550380000,-94.5488302788306
2550400000,-94.627269487712
2550420000,-94.6885088590189
2550440000,-94.4408973721637
2550460000,-94.4582306099642
2550480000,-94.5534911893598
2550500000,-94.6776852713749
2550520000,-94.5230592522687
2550540000,-94.5370321179914
2550560000,-94.5414797569927
2550580000,-94.4853577311112
2550600000,-94.5656218597629
2550620000,-94.6425635139681
2550640000,-94.466188751037
2550660000,-94.580634730625
2550680000,-94.6504488855728
2550700000,-94.5413615080314
2550720000,-94.5926376257019
2550740000,-94.6127049696802
2550760000,-94.4556666381218
2550780000,-94.568265709164
2550800000,-94.4838110522023
2550820000,-94.3311097653771
2550840000,-94.6784783659902
2550860000,-94.5408624240463
2550880000,-94.3691276317545
2550900000,-94.4069682363559
2550920000,-94.6027361953191
2550940000,-94.5096844095222
2550960000,-94.5967715696612
2550980000,-94.6416921796285
2551000000,-94.4368931687161
2551020000,-94.4649783114275
2551040000,-94.5383714477065
2551060000,-94.5751988655296
2551080000,-94.444624420265
2551100000,-94.3958117092346
2551120000,-94.511917999849
2551140000,-94.6992485709296
2551160000,-94.4933172119925
2551180000,-94.4818919501587
2551200000,-94.5925684368183
2551220000,-94.4925884652591
2551240000,-94.4645833502037
2551260000,-94.3485417575204
2551280000,-94.6098163560661
2551300000,-94.4624466757579
2551320000,-94.4605428166196
2551340000,-94.4881298204373
2551360000,-94.5520309945636
2551380000,-94.5785708623396
2551400000,-94.468248731291
2551420000,-94.5001626515073
2551440000,-94.5850672538856
2551460000,-94.616904793501
2551480000,-94.5642882102055
2551500000,-94.6716295956092
2551520000,-94.6923036250302
2551540000,-94.6742935133665
2551560000,-94.6845015998322
2551580000,-94.5775717838926
2551600000,-94.7507570322652
2551620000,-94.3761754549576
2551640000,-94.5772077600113
2551660000,-94.6973139053488
2551680000,-94.7511581748977
2551700000,-94.3021221849044
2551720000,-94.5264146817001
2551740000,-94.4167099910083
2551760000,-94.5040261201709
2551780000,-94.52519470268
2551800000,-94.4089845517254
2551820000,-94.3941752228755
2551840000,-94.2653609288073
2551860000,-94.6084100953432
2551880000,-94.4131560181329
2551900000,-94.4615560239879
2551920000,-94.5216008133019
2551940000,-94.3801595779479
2551960000,-94.6382321910455
2551980000,-94.3246146311788
2552000000,-94.7332202188182
2552020000,-94.9282924229346
2552040000,-94.9838477400642
2552060000,-95.0632521493108
2552080000,-94.752987608675
2552100000,-94.9644025037687
2552120000,-94.7625619634404
2552140000,-94.6944815229459
2552160000,-94.7496954222537
2552180000,-94.5515088045547
2552200000,-95.1306470759388
2552220000,-94.783682533834
2552240000,-94.8422748303265
2552260000,-94.7681398938407
2552280000,-94.6438419381246
2552300000,-94.825439476071
2552320000,-94.7627585928083
2552340000,-94.7498011893872
2552360000,-94.6523644619182
2552380000,-95.0290793970971
2552400000,-94.8211198481517
2552420000,-94.8439203288654
2552440000,-94.8280710441865
2552460000,-94.8610853083289
2552480000,-94.6803862567942
2552500000,-94.7191949254778
2552520000,-94.7847501202562
2552540000,-94.774150337389
2552560000,-94.9374048682582
2552580000,-94.8135563159553
2552600000,-94.779535995056
2552620000,-94.7320603550957
2552640000,-94.8484756383544
2552660000,-94.8915946814223
2552680000,-94.7405181702265
2552700000,-94.789633014314
2552720000,-94.7584625239949
2552740000,-94.9297919244148
2552760000,-94.736296008644
2552780000,-94.8859597434237
2552800000,-94.9818207784548
2552820000,-94.7460585128516
2552840000,-94.9633869588954
2552860000,-94.7857988700161
2552880000,-94.768441970354
2552900000,-94.8865571541067
2552920000,-94.7542483557594
2552940000,-94.7614878538175
2552960000,-95.0276388798724
2552980000,-94.9461506860132
2553000000,-94.6546284370123
2553020000,-94.5564938871568
2553040000,-94.5101627384654
2553060000,-94.4909691011943
2553080000,-94.3477695590549
2553100000,-94.607557267255
2553120000,-94.4426105237432
