Trace
Swept SA
A.08.55,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,2.0272666666
Start Frequency,630000000
Stop Frequency,650000000
Average Count,0
Average Type,Power(RMS)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,1000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
630000000,-98.290831798489
630020000,-98.1780071524012
630040000,-98.2991931646366
630060000,-98.4992744993999
630080000,-98.4219937799203
630100000,-98.2907684392854
630120000,-98.1929991092034
630140000,-98.2662661493982
630160000,-98.2325447733113
630180000,-98.0494545009541
630200000,-98.1814486588585
630220000,-98.155074518728
630240000,-98.1510527468915
630260000,-98.4404461412689
630280000,-98.2909938380726
630300000,-98.0322227532881
630320000,-98.3851101486771
630340000,-98.2261078541782
630360000,-98.2393901953793
630380000,-98.2110127603949
630400000,-98.3373643402845
630420000,-98.2074783712101
630440000,-98.2991330316252
630460000,-98.2229327645749
630480000,-98.4268074183242
630500000,-98.1170806042897
630520000,-98.1883792637508
630540000,-98.3974730564619
630560000,-98.4197158221033
630580000,-98.2364619728925
630600000,-98.2088150417803
630620000,-98.2896414391085
630640000,-98.213188530105
630660000,-98.060820394719
630680000,-98.1977827440398
630700000,-98.1459428150118
630720000,-98.197373786893
630740000,-98.1440579981759
630760000,-98.3184989270444
630780000,-98.2749139559531
630800000,-98.0801268340053
630820000,-98.3901642305073
630840000,-98.2608711851317
630860000,-98.0097995274012
630880000,-98.1394493352707
630900000,-98.22042301366
630920000,-98.2747697600564
630940000,-98.2424241412008
630960000,-98.2460402176681
630980000,-98.0854630145101
631000000,-98.3157324150619
631020000,-98.1810342393741
631040000,-98.2255780765082
631060000,-98.1849700350075
631080000,-98.357440831006
631100000,-98.2316713687568
631120000,-98.3021041696021
631140000,-98.2136845041714
631160000,-98.44142757461
631180000,-98.1532514352071
631200000,-98.2160552456388
631220000,-98.1993719010173
631240000,-98.2624511386989
631260000,-98.1745981365249
631280000,-98.4586030302675
631300000,-98.1810044968188
631320000,-98.1917495185078
631340000,-98.4257457260518
631360000,-98.2438419026164
631380000,-98.3857663376463
631400000,-98.1976552405188
631420000,-98.136452723696
631440000,-98.1073811104985
631460000,-98.0562829161771
631480000,-98.3308716062346
631500000,-98.2733245134932
631520000,-98.2832463430045
631540000,-98.3086717262845
631560000,-98.3718273447238
631580000,-98.5119403538098
631600000,-98.1391018698026
631620000,-98.3088754810004
631640000,-98.2434478383692
631660000,-98.3295050533712
631680000,-98.31143066195
631700000,-98.2549319884068
631720000,-98.0076367670202
631740000,-98.4254334753117
631760000,-98.3210787143537
631780000,-98.2717726725621
631800000,-98.1167913118456
631820000,-98.1627052249804
631840000,-98.296642582769
631860000,-98.3950764163466
631880000,-98.4099813183882
631900000,-98.3218760868513
631920000,-98.1605814808144
631940000,-98.2641645254707
631960000,-98.3034582654658
631980000,-98.2233651695248
632000000,-98.2285548178606
632020000,-98.2827524610946
632040000,-98.3407562458013
632060000,-98.1738490529739
632080000,-98.3018888473907
632100000,-98.3416686082413
632120000,-98.1087763876675
632140000,-98.2510703101711
632160000,-98.2692059044234
632180000,-98.3353312304019
632200000,-98.3465641028036
632220000,-98.3102295444664
632240000,-98.2703516433951
632260000,-98.1727369572148
632280000,-98.2843068288745
632300000,-98.4366547529024
632320000,-98.333113523772
632340000,-98.4778571444142
632360000,-98.1169393236272
632380000,-98.2051816247177
632400000,-98.05507640064
632420000,-98.4792630098162
632440000,-98.3318958227378
632460000,-98.2254540630693
632480000,-98.0857706734732
632500000,-98.3891181295237
632520000,-98.1778650859106
632540000,-98.4144630437972
632560000,-98.1805118974614
632580000,-98.1093817976196
632600000,-98.2060549035177
632620000,-98.2837379913373
632640000,-98.228491521192
632660000,-98.068480255241
632680000,-98.2682022772241
632700000,-98.3929534690465
632720000,-98.3593210000416
632740000,-98.2528754168842
632760000,-98.3450731390469
632780000,-98.2136158389032
632800000,-98.3201944383393
632820000,-98.246786267587
632840000,-98.1373383182938
632860000,-98.3413774409605
632880000,-98.0736836721105
632900000,-98.1947655877519
632920000,-98.4158468267381
632940000,-98.369157667012
632960000,-98.2881968707748
632980000,-98.2888897674163
633000000,-98.3127230466003
633020000,-98.3332261737714
633040000,-98.3546721994884
633060000,-98.3953544108646
633080000,-98.0340187688283
633100000,-98.4167594520819
633120000,-98.3467490815461
633140000,-98.0875352010902
633160000,-98.4012504076173
633180000,-98.2539946358872
633200000,-98.4049277044268
633220000,-98.2454187178213
633240000,-98.3724356805231
633260000,-98.228727802967
633280000,-98.4339336724811
633300000,-98.2896270355371
633320000,-98.3334647234622
633340000,-98.4132705782211
633360000,-98.1772308886913
