Trace
Swept SA
A.08.55,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,0.5838
Start Frequency,0
Stop Frequency,20000000
Average Count,0
Average Type,LogPower(Video)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,100000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
0,-19.8342763570935
20000,-75.5526906582929
40000,-74.4542786552238
60000,-72.7486571358972
80000,-73.9733740336392
100000,-74.2600679585844
120000,-75.0064746111419
140000,-75.666427417129
160000,-75.9896484452134
180000,-77.5434036090769
200000,-77.4091245046399
220000,-78.4914005538251
240000,-79.5949542569137
260000,-79.2191502294862
280000,-79.8246423137417
300000,-80.2833182655935
320000,-80.3134171886992
340000,-79.349115248065
360000,-79.0722674429001
380000,-79.8880300341836
400000,-80.525551178312
420000,-81.1642192769872
440000,-82.8575688415432
460000,-84.666981607929
480000,-86.9904396998413
500000,-87.0379390870619
520000,-86.2924014032549
540000,-87.3077475830078
560000,-87.36265962974
580000,-88.0695070888749
600000,-89.6890933482634
620000,-89.5719751336534
640000,-89.3611527364012
660000,-89.4280711648045
680000,-89.220589561715
700000,-89.0854405307678
720000,-89.7450684920725
740000,-90.5616835455262
760000,-91.2697891168619
780000,-90.5680323139212
800000,-90.1672665061383
820000,-90.7094568666219
840000,-90.5599777453663
860000,-91.6120263687434
880000,-91.3960727268182
900000,-92.1128485453779
920000,-92.6474187818463
940000,-91.1797810588872
960000,-91.2882123268671
980000,-92.3562581823872
1000000,-93.2195667333719
1020000,-91.9471070931389
1040000,-92.596621451118
1060000,-92.2776692492127
1080000,-92.4797493120268
1100000,-92.6529143147255
1120000,-92.2827450491953
1140000,-92.3790763629734
1160000,-93.6244272217442
1180000,-94.462521516443
1200000,-94.3532642437358
1220000,-92.3813140865255
1240000,-93.4297131483752
1260000,-94.2526798884724
1280000,-93.0855471169883
1300000,-93.937235595498
1320000,-95.1127417478108
1340000,-93.9575829240933
1360000,-95.1796579638843
1380000,-94.1645658835026
1400000,-94.7799794970028
1420000,-93.8384386952819
1440000,-94.5221428821335
1460000,-94.5804855441625
1480000,-95.165025253241
1500000,-95.1326866837203
1520000,-94.0870615056608
1540000,-95.4411602707909
1560000,-95.5847938454049
1580000,-95.2214826136835
1600000,-95.4459699022625
1620000,-96.4136140870749
1640000,-95.6751676093437
1660000,-95.7440811415741
1680000,-95.7362977065581
1700000,-97.532945826978
1720000,-96.9976860006343
1740000,-96.2967359827922
1760000,-96.192877069744
1780000,-96.2806644439456
1800000,-96.2262530717577
1820000,-96.4976229105952
1840000,-96.8385747360809
1860000,-97.515163987244
1880000,-97.5510899703518
1900000,-96.989588096845
1920000,-97.6503500564801
1940000,-98.1773788036353
1960000,-96.5736626394233
1980000,-98.2451655564052
2000000,-97.9494927340386
2020000,-97.6390361721639
2040000,-97.7287595750342
2060000,-97.6049433158422
2080000,-97.6565762370661
2100000,-98.9156178926958
2120000,-97.9546759336697
2140000,-97.6891487141576
2160000,-98.4358615434879
2180000,-99.1265235444931
2200000,-98.2472151690414
2220000,-97.9659892655254
2240000,-97.8937927171588
2260000,-98.3338000596863
2280000,-98.6164648972254
2300000,-98.9015235345237
2320000,-98.963653202113
2340000,-98.132044261098
2360000,-98.8978802196319
2380000,-99.6400610138953
2400000,-100.184358518853
2420000,-99.0694951477543
2440000,-99.2597780668662
2460000,-99.5955358737611
2480000,-99.5631463681762
2500000,-99.4990365682081
2520000,-99.9467057791251
2540000,-99.8887482350033
2560000,-100.035427166317
2580000,-99.504417224712
2600000,-99.5047697063466
2620000,-100.074847308041
2640000,-99.4337392175745
2660000,-99.9580004596518
2680000,-99.717247061562
2700000,-100.65456846934
2720000,-101.094277145677
2740000,-99.7769521789885
2760000,-99.9423140749064
2780000,-100.324657988004
2800000,-100.18996265582
2820000,-100.140034029399
2840000,-101.205688494908
2860000,-99.2878893121332
2880000,-101.111508538266
2900000,-100.572720814723
2920000,-100.195052236262
2940000,-100.138392212731
2960000,-100.63359657565
2980000,-100.756600437835
3000000,-100.183907283313
3020000,-99.6029945278284
3040000,-100.966156677263
3060000,-100.806454466788
3080000,-100.695801066037
3100000,-100.543218754824
3120000,-100.190158431706
3140000,-101.663971966672
3160000,-101.221638741018
3180000,-100.562162393033
3200000,-100.75816695576
3220000,-100.472150686139
3240000,-100.232091472999
3260000,-100.851665370895
3280000,-100.42036615233
3300000,-101.252377602841
3320000,-100.924549395824
3340000,-100.624478446336
3360000,-100.817155360145
3380000,-100.676995557296
3400000,-101.506117028403
3420000,-101.977677256204
3440000,-101.631895144257
3460000,-101.321474660263
3480000,-100.832166714667
3500000,-100.523596101515
